id,bloco,secao,label_proposto,conceito,estado,prioridade,profundidade,origens,fontes_apoio,desenvolver
M09.04,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,Cobertura condicional e largura das bandas,T,P1,Equação,"sec:calibracao,sec:demo-bandas,sec:referencia-fixa",,"Estratos por tercis de carga/semestre, cortes de treino, denominadores pequenos e meia-largura relativa. Comparar centro, população e nível; nitidez deve ser apreciada em conjunto com calibração."
M09.05,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,"Rajadas, episódios e regras de sequência",T,P1,Algoritmo,"sec:metricas,sec:dashboard,sec:calibracao",,"Formalizar as oito regras efetivamente descritas, lado, limiares, comprimento, monotonia, alternância e sobreposição de janelas. Contar dias, violações e episódios separadamente; conferir convenção 8/9 pontos e regra de lacunas antes de chamar Nelson."
M09.06,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,"Resíduos AR(p), centro condicional e BIC",T,P1,Equação + algoritmo,sec:demo-bandas,,"Reta mais previsão AR dos resíduos; ordem 1–7 por BIC no treino, amostra comum de comparação, inovação e previsão a um passo. A rota muda o centro; o MAE do candidato completo tem de corresponder à mesma previsão."
M09.07,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,Bandas de inovação e fallback marginal,T,P1,Equação + algoritmo,sec:demo-bandas,,"Limites gaussianos ou quantis empíricos das inovações; histórico admissível, desfasamentos exatos e fallback quando faltam lags. Publicar fração de dias em fallback e desempenho nas mesmas datas."
M09.08,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,"Regressão quantílica, perda assimétrica e não cruzamento",T,P1,Equação + algoritmo,"sec:guidelines,sec:demo-bandas",,"Definir quantil condicional, pinball loss, dois quantis-alvo e regra de recusa por cruzamento. Distinguir rejeitar cruzamento de impor restrições; afinação, convergência e escassez de observações de cauda em janela anual."
M09.09,G.9,"Bandas, cobertura e regras de alarme",sec:mat-bandas,Envelopes fixos e quantis móveis,T,P1,Equação + algoritmo,sec:referencia-fixa,,"Origem dos quantis e da escala em 2020; controlo de 90 dias anteriores com mínimo de 60 erros, disponibilidade e população comum. Separar envelope da referência e adaptação ao passado de aplicação."
M10.01,G.10,Critérios de aceitação e materialidade,sec:mat-aceitacao,"Candidato, finalidade e decisão não estimável",T,P1,Definição + tabela,"sec:guidelines,sec:demo-gate",,"Definir estimador, domínio, centro, banda e uso; enumerar oito combinações por vetor que produzem 32 decisões, sem sugerir fatorial completo. Separar NE, inconclusivo e rejeitado; normalizador, preditor e detetor precisam de alvos próprios."
M10.02,G.10,Critérios de aceitação e materialidade,sec:mat-aceitacao,Regra histórica quatro em cinco,T,P1,Equação + exemplo,"sec:guidelines,sec:demo-gate",,Indicadores de ganho e de compatibilidade de cobertura por par; duas somas ≥4 versus soma de sucessos conjuntos ≥4. A regra descrita pode ter só três pares com ambos; preservar resultado histórico e explicitar a diferença.
M10.03,G.10,Critérios de aceitação e materialidade,sec:mat-aceitacao,"Compatibilidade, equivalência e não inferioridade",P,P1,Equação + pressupostos,"sec:guidelines,sec:limitacoes",,"Separar regra já usada de proposta futura com margens materiais, precisão mínima e inconclusão. IC que contém nominal não prova calibração; margens carecem de definição anterior à nova avaliação e não serão escolhidas para aprovar candidatos."
M10.04,G.10,Critérios de aceitação e materialidade,sec:mat-aceitacao,"Potência, erros de decisão e dependência entre pares",P,P1,Equação + desenho,"sec:demo-gate,sec:limitacoes",,"Avaliar aceitação/rejeição sob cenários declarados, com dependência dos pares e seleção de candidatos. Cinco transições não são cinco ensaios Bernoulli independentes por construção; análise de custo/benefício continua futura."
M11.01,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,"Resíduo, excesso positivo e acumulado líquido",T,P1,Equação + derivação,"sec:metricas,sec:dashboard",,"e=observado−referência; soma(e), soma(max(e,0)), ritmo por dia e Pareto. Excesso positivo cresce com ruído mesmo com erro centrado; não é estimador de desperdício ou poupança. Somar inclui exposição e fronteiras."
M11.02,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,"Referência congelada, estado e inovação",T,P1,Equação + esquema,"sec:leitura-integrada,sec:referencia-congelada",,"Separar f_ref(X), r_ref, estado previsto/filtrado e inovação; a informação que cada canal conserva. Distinguir escala residual, escala da referência, erro do estado e variância de inovação."
M11.03,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,Espaço de estados e filtro de Kalman,C,P1,Equação + algoritmo,"sec:referencia-fixa,sec:verdade-conhecida",STATE,"Equações de observação/transição, nível e eventual tendência, ruídos de processo/medição, previsão, ganho e atualização; estado inicial, parametrização e passos civis com lacunas. Transcrever só famílias efetivamente citadas."
M11.04,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,Monitor de resíduo e lateralidade,C,P1,Equação,sec:verdade-conhecida,MON,"Estatística z ou módulo de z, limiar e conjunto pontuável; unilateral superior versus bilateral. O vapor líquido de 10 bar requer a lateralidade declarada; sinal de consumo não pode ser perdido por normalização percentual."
M11.05,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,"CUSUM tabular, estado e reinício",C,P1,Equação + algoritmo,"sec:detetabilidade,sec:verdade-conhecida",MON,"Recorrências S+ e S− com k, limiar h e estado inicial. Na Parte C consultada usa resíduos padronizados, conserva estado em dia não pontuável e não reinicia após cruzamento; distinguir do CUSUM sobre inovações planeado em E5."
M11.06,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,"Monitores de carga, estratos e escala",T,P1,Equação + algoritmo,sec:verdade-conhecida,"MON,STATE","Definir estatística que reage a mudança de resposta à carga e a alargamento da dispersão; regressão local/estratos, janelas, mínimos, normalização e lateralidade. Não reduzir a designação genérica canais de carga e escala."
M11.07,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,Preservação de sinal e projeção do reajuste,T,P1,Derivação + algoritmo,"sec:sintese-modos-falha,sec:referencia-fixa",,"Definir controlo/injetado, canal, janela e denominador. Para OLS no mesmo desenho, diferença residual=(I−H)δ; degrau uniforme pode estar no espaço do intercepto, mas mudança parcial não desaparece universalmente."
M11.08,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,Branqueamento e atenuação de uma mudança,T,P1,Derivação curta,sec:verdade-conhecida,,"Distinguir filtro AR fixo e filtro adaptativo; para AR(1), contribuição do sinal na inovação é δ_t−ρδ_(t−1). Não equiparar atenuação de inovação a impossibilidade de deteção por monitor sequencial."
M11.09,G.11,"Referência, estado e monitorização sequencial",sec:mat-monitorizacao,Estados operacionais da baseline e transições,P,P2,Algoritmo + esquema,sec:implicacoes-plataforma,,"Alarme, investigação, suspensão, recalibração e verificação; separar evento de estado persistente, fora de domínio e não pontuável. Anexo G define regra matemática; manual E guarda operação, responsabilidades e aprovação."
M12.01,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,Gerador de dados e verdade conhecida,T,P1,Equação + algoritmo,sec:verdade-conhecida,,"Relação de referência, covariáveis fixas/reamostradas, treino, aplicação, máscara, instante inicial do desvio e cenários. Separar gerador linear, bancos não lineares e factos observados da refinaria."
M12.02,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,Ruído AR(1) com variância marginal fixa,C,P1,Equação + derivação,sec:verdade-conhecida,SIM,"ε_t=ρ ε_(t−1)+σ_marg sqrt(1−ρ²) ξ_t, inicialização estacionária e simulação em todos os dias, incluindo ocultos. Aumentar ρ preserva dispersão marginal nesta construção e altera memória."
M12.03,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,"Degrau, rampa, recuperação, carga e escala",T,P1,Equação + desenho,"sec:referencia-fixa,sec:verdade-conhecida",,"Amplitude em unidades da escala, onset, duração, plateau, sentido e retorno; alternativas multiplicativas para variância ou interação com carga. Separar injeção em dados reais e geração sintética completa."
M12.04,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,Calibração de limiar por horizonte,T,P1,Equação + algoritmo,sec:verdade-conhecida,,"Probabilidade de pelo menos um sinal sob H0 durante H dias versus taxa diária e ARL0; máximo de trajetória, limiar, quantis discretos e réplicas separadas de calibração/verificação. Declarar orçamento por canal e sistema."
M12.05,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,"Probabilidade de deteção, atraso e censura",T,P1,Equação,"sec:detetabilidade,sec:verdade-conhecida",,"Tempo do primeiro cruzamento após onset, dias civis versus pontuáveis, deteção até H e não deteções censuradas. ARL0 e atraso condicional só aos detetados são quantidades diferentes; não usar uma pela outra."
M12.06,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,Desvio mínimo detetável e curva de potência,T,P1,Equação + algoritmo,sec:verdade-conhecida,,"Amplitude para atingir probabilidade-alvo (50% no relato), grelha, interpolação/monotonicidade, IC da curva e censura aberta quando não há cruzamento. Converter em percentagem apenas com referência positiva admissível; não aplicar a fluxo líquido com sinal."
M12.07,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,Contrastes emparelhados por réplica e MCSE,T,P1,Equação + algoritmo,sec:verdade-conhecida,,"Diferença dos indicadores de deteção dentro da mesma réplica, média e MCSE=sd(diferenças)/sqrt(R); bootstrap por réplica independente. Distinguir esta reamostragem iid do MBB temporal; separar oito co-primárias e secundárias."
M12.08,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,"Ruído multivariado, coocorrência e deteção conjunta",C,P1,Equação + algoritmo,"sec:diagnosticos-desc,sec:verdade-conhecida",JOINT,"Matriz de correlação/covariância, eventual regularização, inovações correlacionadas, regra conjunta e lateralidade. Calibrar orçamento conjunto; correlação negativa não impede excursões bilaterais simultâneas."
M12.09,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,Agregação temporal e correlações em acumulados,T,P1,Derivação + simulação,sec:verdade-conhecida,,"Somas semanais/mensais e acumulados preservando calendário; variância da soma inclui autocovariâncias. Mostrar mecanismo e distribuição entre réplicas, sem transformar uma realização com R² alto em teorema universal."
M12.10,G.12,"Simulação, falsos sinais e detetabilidade",sec:mat-simulacao,"Stress, máscaras e âmbito de generalização",T,P1,Desenho + algoritmo,"sec:verdade-conhecida,sec:limitacoes",,"Sensibilidade a ρ, dimensão, máscara, não linearidade e tipo de desvio; comparação justa mantém denominadores/orçamentos declarados. Lotes com populações ou calendário incorretos não suportam sequer ordenações qualitativas finais."
